window_days,strategy_id,total_trades,winning_trades,losing_trades,win_rate,avg_win_pct,avg_loss_pct,expectancy,profit_factor,total_pnl_pct,max_drawdown_pct,sharpe_ratio,avg_hold_hours,max_concurrent
30,C1,119,57,62,47.9,6.64,-5.78,0.1673,1.0556,3.98,33.25,0.1861,98.0,45
30,C2,119,57,62,47.9,6.64,-5.78,0.1673,1.0556,3.98,33.25,0.1861,98.0,45
30,C3,119,57,62,47.9,6.64,-5.78,0.1673,1.0556,3.98,33.25,0.1861,98.0,45
30,C4,165,67,98,40.61,9.36,-4.83,0.9364,1.3267,30.9,37.85,1.0142,90.6,50
30,D1,119,57,62,47.9,6.64,-5.78,0.1673,1.0556,3.98,33.25,0.1861,98.0,45
30,D2,114,55,59,48.25,6.79,-5.73,0.3082,1.1039,7.03,30.64,0.3383,98.5,44
30,D3,118,56,62,47.46,6.74,-5.71,0.1942,1.0647,4.58,33.25,0.2151,98.2,44
30,D4,119,57,62,47.9,6.64,-5.78,0.1673,1.0556,3.98,33.25,0.1861,98.0,45
30,D5,95,45,50,47.37,6.79,-5.99,0.0633,1.0201,1.2,30.64,0.0664,101.1,33
30,D6,125,58,67,46.4,7.37,-4.86,0.8154,1.3129,20.39,24.3,1.0503,83.5,43
30,D7,115,57,58,49.57,7.64,-5.64,0.9425,1.3313,21.68,28.46,0.8649,103.9,45
30,D8,119,57,62,47.9,6.64,-5.78,0.1673,1.0556,3.98,33.25,0.1861,98.0,45
30,E1,262,91,171,34.73,9.34,-4.2,0.5043,1.1842,26.43,55.56,0.6279,69.4,54
30,E2,165,67,98,40.61,9.36,-4.83,0.9364,1.3267,30.9,37.85,1.0142,90.6,50
30,E3,82,31,51,37.8,8.01,-6.2,-0.8295,0.785,-13.6,32.5,-0.8528,89.6,33
30,E4,62,32,30,51.61,4.83,-6.52,-0.6638,0.7897,-8.23,24.07,-0.7962,83.6,31
90,A1,436,205,231,47.02,10.19,-5.82,1.7067,1.5535,148.82,21.4,1.0775,122.8,54
90,A2,345,156,189,45.22,10.22,-5.65,1.5266,1.4932,105.33,20.34,0.958,122.3,45
90,B1,535,229,306,42.8,10.27,-4.88,1.6016,1.5735,171.37,28.2,1.0829,116.2,58
90,B2,402,166,236,41.29,10.35,-5.7,0.9253,1.2764,74.4,26.94,0.5914,119.2,49
90,B3,387,158,229,40.83,9.4,-5.72,0.4522,1.1336,35.0,33.3,0.3596,118.3,51
90,B4,175,76,99,43.43,10.78,-6.21,1.1708,1.3334,40.98,28.0,0.8406,117.3,44
90,B5,624,279,345,44.71,9.65,-4.89,1.6112,1.5957,201.08,37.42,1.2219,111.4,60
90,C1,446,207,239,46.41,10.02,-6.0,1.4345,1.446,127.96,32.77,0.9107,121.4,54
90,C2,468,215,253,45.94,10.05,-5.87,1.445,1.4556,135.25,37.01,0.9328,121.9,54
90,C3,452,212,240,46.9,10.01,-6.03,1.4949,1.4672,135.14,32.42,0.9507,121.5,54
90,C4,627,266,361,42.42,10.22,-5.05,1.4247,1.4896,178.66,39.31,1.0525,111.8,60
90,D1,478,220,258,46.03,9.91,-5.9,1.377,1.4325,131.64,37.99,0.8947,121.3,54
90,D2,414,199,215,48.07,9.71,-5.45,1.8338,1.6475,151.84,33.8,1.1771,123.8,50
90,D3,439,195,244,44.42,10.41,-6.34,1.1011,1.3127,96.67,40.18,0.6984,117.6,54
90,D4,436,205,231,47.02,10.19,-5.82,1.7067,1.5535,148.82,21.4,1.0775,122.8,54
90,D5,222,99,123,44.59,9.14,-5.95,0.7829,1.2376,34.76,32.34,0.5663,124.2,49
90,D6,455,214,241,47.03,9.98,-5.49,1.7858,1.6145,162.51,25.6,1.2461,110.9,51
90,D7,423,210,213,49.65,10.95,-5.86,2.4816,1.8404,209.94,21.48,1.1701,131.0,55
90,D8,436,205,231,47.02,10.19,-5.82,1.7067,1.5535,148.82,21.4,1.0775,122.8,54
90,E1,856,305,551,35.63,9.76,-4.21,0.7644,1.2818,130.86,54.18,0.689,86.6,67
90,E2,572,245,327,42.83,10.62,-5.08,1.6444,1.5663,188.12,37.21,1.1776,112.6,60
90,E3,332,143,189,43.07,10.03,-5.75,1.0488,1.3207,69.64,34.42,0.7867,122.5,38
90,E4,262,123,139,46.95,8.29,-6.36,0.5176,1.1534,27.12,36.86,0.3973,119.8,29
120,A1,603,310,293,51.41,9.98,-5.61,2.4032,1.8815,289.82,23.12,1.5973,127.5,47
120,A2,526,278,248,52.85,10.03,-5.59,2.6674,2.0123,280.62,19.02,1.7687,127.3,48
120,B1,762,364,398,47.77,10.42,-5.05,2.3394,1.8862,356.53,28.2,1.5955,120.3,55
120,B2,625,310,315,49.6,9.57,-5.75,1.8507,1.6387,231.34,26.0,1.2945,125.1,53
120,B3,625,295,330,47.2,9.64,-5.48,1.6564,1.5725,207.05,28.87,1.1657,125.5,55
120,B4,337,131,206,38.87,13.04,-6.13,1.3174,1.3513,88.79,32.68,0.5503,123.4,39
120,B5,852,382,470,44.84,9.69,-4.64,1.7815,1.6955,303.58,37.42,1.399,113.3,61
120,C1,613,313,300,51.06,9.59,-5.83,2.0466,1.7178,250.92,32.77,1.3851,126.6,48
120,C2,626,315,311,50.32,9.96,-5.85,2.1085,1.7261,263.98,40.92,1.3953,127.1,49
120,C3,623,319,304,51.2,9.55,-5.89,2.0168,1.7016,251.29,32.42,1.3702,126.2,46
120,C4,852,389,463,45.66,9.88,-4.95,1.8178,1.6755,309.75,39.31,1.3811,116.7,55
120,D1,656,330,326,50.3,9.75,-5.78,2.0333,1.7084,266.77,37.99,1.3689,126.4,51
120,D2,555,274,281,49.37,9.8,-5.49,2.0608,1.7414,228.75,33.8,1.3728,127.0,50
120,D3,604,295,309,48.84,10.16,-6.26,1.7607,1.5499,212.69,40.18,1.1541,122.9,45
120,D4,603,310,293,51.41,9.98,-5.61,2.4032,1.8815,289.82,23.12,1.5973,127.5,47
120,D5,284,125,159,44.01,9.72,-5.83,1.0146,1.3109,57.63,40.01,0.7502,125.3,40
120,D6,629,311,318,49.44,9.78,-5.41,2.1017,1.7689,264.39,27.27,1.5515,114.9,46
120,D7,588,315,273,53.57,10.43,-5.61,2.9826,2.1456,350.76,20.15,1.5406,135.3,47
120,D8,603,310,293,51.41,9.98,-5.61,2.4032,1.8815,289.82,23.12,1.5973,127.5,47
120,E1,1125,430,695,38.22,10.08,-4.05,1.3541,1.5416,304.68,54.18,1.2228,91.6,57
120,E2,781,358,423,45.84,10.23,-4.93,2.0196,1.7559,315.46,37.21,1.4959,117.7,54
120,E3,480,231,249,48.12,9.86,-5.8,1.7365,1.5771,166.7,38.52,1.2892,128.4,42
120,E4,373,191,182,51.21,8.42,-6.37,1.2051,1.388,89.9,33.05,0.9245,127.8,33
150,A1,763,401,362,52.56,10.53,-5.74,2.8109,2.0317,428.94,21.4,1.7946,126.6,49
150,A2,681,374,307,54.92,10.02,-5.6,2.9798,2.1805,405.85,19.02,1.9822,128.6,45
150,B1,954,481,473,50.42,10.41,-5.38,2.579,1.9667,492.07,28.2,1.7401,122.2,58
150,B2,812,415,397,51.11,10.19,-5.82,2.3643,1.8309,383.96,26.0,1.6054,126.7,54
150,B3,820,418,402,50.98,9.51,-5.49,2.1541,1.8004,353.28,28.87,1.5157,127.8,54
150,B4,501,245,256,48.9,11.28,-5.82,2.5445,1.8556,254.96,31.16,1.2054,129.9,43
150,B5,1033,489,544,47.34,10.5,-4.96,2.3566,1.9018,486.87,37.42,1.719,113.2,58
150,C1,784,408,376,52.04,10.16,-5.88,2.4701,1.8763,387.32,32.77,1.6072,126.2,49
150,C2,775,405,370,52.26,10.44,-5.81,2.679,1.9653,415.24,40.92,1.7185,126.4,49
150,C3,796,417,379,52.39,10.03,-5.89,2.4516,1.8739,390.29,32.42,1.6084,126.4,49
150,C4,1064,519,545,48.78,10.25,-4.98,2.449,1.9599,521.15,39.31,1.7611,118.5,60
150,D1,835,432,403,51.74,10.25,-5.79,2.5104,1.8986,419.24,37.99,1.6337,126.5,51
150,D2,689,346,343,50.22,10.23,-5.63,2.3325,1.8322,321.42,33.8,1.5143,126.8,50
150,D3,752,376,376,50.0,10.89,-6.25,2.3193,1.742,348.82,40.18,1.4604,122.6,44
150,D4,763,401,362,52.56,10.53,-5.74,2.8109,2.0317,428.94,21.4,1.7946,126.6,49
150,D5,342,155,187,45.32,10.89,-5.8,1.7634,1.5557,120.62,38.22,1.1655,123.6,29
150,D6,790,404,386,51.14,10.28,-5.56,2.541,1.9355,401.49,25.6,1.7874,116.4,50
150,D7,743,406,337,54.64,10.91,-5.92,3.2761,2.2206,486.83,19.57,1.6889,134.8,52
150,D8,763,401,362,52.56,10.53,-5.74,2.8109,2.0317,428.94,21.4,1.7946,126.6,49
150,E1,1371,559,812,40.77,10.67,-4.17,1.8789,1.7602,515.21,54.18,1.5694,93.7,61
150,E2,967,477,490,49.33,10.61,-5.12,2.6436,2.0197,511.26,37.21,1.8482,118.7,60
150,E3,596,311,285,52.18,10.05,-5.77,2.4818,1.899,295.83,38.52,1.7183,128.2,42
150,E4,461,252,209,54.66,9.22,-6.24,2.2107,1.781,203.83,33.05,1.5295,128.6,35
