window_days,strategy_id,total_trades,winning_trades,losing_trades,win_rate,avg_win_pct,avg_loss_pct,expectancy,profit_factor,total_pnl_pct,max_drawdown_pct,sharpe_ratio,avg_hold_hours,max_concurrent
150,F1,53,23,30,43.4,1.83,-0.7,0.3962,1.9947,4.2,2.04,4.1208,24.0,3
150,F2,88,34,54,38.64,2.09,-1.0,0.195,1.3187,3.43,4.22,1.5752,23.7,4
150,F3,23,4,19,17.39,2.14,-0.96,-0.4225,0.4685,-1.94,3.66,-4.3297,24.0,2
150,F4,53,23,30,43.4,1.83,-0.7,0.3962,1.9947,4.2,2.04,4.1208,24.0,3
150,F5,52,21,31,40.38,5.28,-1.57,1.1953,2.278,12.43,3.07,1.6221,70.6,5
150,F6,53,23,30,43.4,1.83,-0.7,0.3962,1.9947,4.2,2.04,4.1208,24.0,3
150,F7,53,23,30,43.4,1.83,-0.7,0.3962,1.9947,4.2,2.04,4.1208,24.0,3
150,F8,53,23,30,43.4,1.83,-0.7,0.3962,1.9947,4.2,2.04,4.1208,24.0,3
